date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:27:23	131371/131371	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202024%2000:07:54%20GMT	https://pixelwibes.com/template/cryptoon/html/dist/index.html	C:/My%20Web%20Sites/cryptoon/pixelwibes.com/template/cryptoon/html/dist/index.html	(from )
19:27:24	113/113	---M-Z	200	added ('OK')	text/plain	etag:%22580d76-76-5f95ba2108b71-gzip%22	https://pixelwibes.com/robots.txt		(from )
19:27:24	15086/15086	---M--	200	added ('OK')	image/x-icon	date:Thu,%2018%20Jul%202024%2000:07:54%20GMT	https://pixelwibes.com/template/cryptoon/html/dist/favicon.ico	C:/My%20Web%20Sites/cryptoon/pixelwibes.com/template/cryptoon/html/dist/favicon.ico	(from https://pixelwibes.com/template/cryptoon/html/dist/index.html)
19:27:24	3929/3929	---M-Z	200	added ('OK')	text/css	date:Thu,%2018%20Jul%202024%2000:08:02%20GMT	https://pixelwibes.com/template/cryptoon/html/dist/assets/plugin/datatables/responsive.dataTables.min.css	C:/My%20Web%20Sites/cryptoon/pixelwibes.com/template/cryptoon/html/dist/assets/plugin/datatables/responsive.dataTables.min.css	(from https://pixelwibes.com/template/cryptoon/html/dist/index.html)
19:27:24	5384/5384	---M-Z	200	added ('OK')	text/css	date:Thu,%2018%20Jul%202024%2000:08:02%20GMT	https://pixelwibes.com/template/cryptoon/html/dist/assets/plugin/datatables/dataTables.bootstrap5.min.css	C:/My%20Web%20Sites/cryptoon/pixelwibes.com/template/cryptoon/html/dist/assets/plugin/datatables/dataTables.bootstrap5.min.css	(from https://pixelwibes.com/template/cryptoon/html/dist/index.html)
19:27:24	406030/406030	---MCZ	200	added ('OK')	text/css	date:Thu,%2018%20Jul%202024%2000:37:10%20GMT	https://pixelwibes.com/template/cryptoon/html/dist/assets/css/cryptoon.style.min.css	C:/My%20Web%20Sites/cryptoon/pixelwibes.com/template/cryptoon/html/dist/assets/css/cryptoon.style.min.css	(from https://pixelwibes.com/template/cryptoon/html/dist/index.html)
19:27:25	158108/158108	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202024%2000:07:54%20GMT	https://pixelwibes.com/template/cryptoon/html/dist/exchange.html	C:/My%20Web%20Sites/cryptoon/pixelwibes.com/template/cryptoon/html/dist/exchange.html	(from https://pixelwibes.com/template/cryptoon/html/dist/index.html)
19:27:25	202051/202051	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202024%2000:07:54%20GMT	https://pixelwibes.com/template/cryptoon/html/dist/market.html	C:/My%20Web%20Sites/cryptoon/pixelwibes.com/template/cryptoon/html/dist/market.html	(from https://pixelwibes.com/template/cryptoon/html/dist/index.html)
19:27:25	115010/115010	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202024%2000:07:54%20GMT	https://pixelwibes.com/template/cryptoon/html/dist/ico.html	C:/My%20Web%20Sites/cryptoon/pixelwibes.com/template/cryptoon/html/dist/ico.html	(from https://pixelwibes.com/template/cryptoon/html/dist/index.html)
19:27:25	142172/142172	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202024%2000:07:54%20GMT	https://pixelwibes.com/template/cryptoon/html/dist/future-trade.html	C:/My%20Web%20Sites/cryptoon/pixelwibes.com/template/cryptoon/html/dist/future-trade.html	(from https://pixelwibes.com/template/cryptoon/html/dist/index.html)
19:27:25	205117/205117	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202024%2000:07:54%20GMT	https://pixelwibes.com/template/cryptoon/html/dist/p2p.html	C:/My%20Web%20Sites/cryptoon/pixelwibes.com/template/cryptoon/html/dist/p2p.html	(from https://pixelwibes.com/template/cryptoon/html/dist/index.html)
19:27:26	119182/119182	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202024%2000:07:54%20GMT	https://pixelwibes.com/template/cryptoon/html/dist/battel.html	C:/My%20Web%20Sites/cryptoon/pixelwibes.com/template/cryptoon/html/dist/battel.html	(from https://pixelwibes.com/template/cryptoon/html/dist/index.html)
19:27:26	103479/103479	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202024%2000:07:54%20GMT	https://pixelwibes.com/template/cryptoon/html/dist/convert-trade.html	C:/My%20Web%20Sites/cryptoon/pixelwibes.com/template/cryptoon/html/dist/convert-trade.html	(from https://pixelwibes.com/template/cryptoon/html/dist/index.html)
19:27:26	163778/163778	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202024%2000:07:54%20GMT	https://pixelwibes.com/template/cryptoon/html/dist/margin-trade.html	C:/My%20Web%20Sites/cryptoon/pixelwibes.com/template/cryptoon/html/dist/margin-trade.html	(from https://pixelwibes.com/template/cryptoon/html/dist/index.html)
19:27:26	102808/102808	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202024%2000:07:54%20GMT	https://pixelwibes.com/template/cryptoon/html/dist/cryptoloan.html	C:/My%20Web%20Sites/cryptoon/pixelwibes.com/template/cryptoon/html/dist/cryptoloan.html	(from https://pixelwibes.com/template/cryptoon/html/dist/index.html)
19:27:27	99838/99838	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202024%2000:07:54%20GMT	https://pixelwibes.com/template/cryptoon/html/dist/cryptoonpay.html	C:/My%20Web%20Sites/cryptoon/pixelwibes.com/template/cryptoon/html/dist/cryptoonpay.html	(from https://pixelwibes.com/template/cryptoon/html/dist/index.html)
19:27:27	93866/93866	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202024%2000:07:54%20GMT	https://pixelwibes.com/template/cryptoon/html/dist/calendar.html	C:/My%20Web%20Sites/cryptoon/pixelwibes.com/template/cryptoon/html/dist/calendar.html	(from https://pixelwibes.com/template/cryptoon/html/dist/index.html)
19:27:27	79269/79269	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202024%2000:07:54%20GMT	https://pixelwibes.com/template/cryptoon/html/dist/chat.html	C:/My%20Web%20Sites/cryptoon/pixelwibes.com/template/cryptoon/html/dist/chat.html	(from https://pixelwibes.com/template/cryptoon/html/dist/index.html)
19:27:27	104680/104680	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202024%2000:07:54%20GMT	https://pixelwibes.com/template/cryptoon/html/dist/form-bootstrap.html	C:/My%20Web%20Sites/cryptoon/pixelwibes.com/template/cryptoon/html/dist/form-bootstrap.html	(from https://pixelwibes.com/template/cryptoon/html/dist/index.html)
19:27:27	103930/103930	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202024%2000:07:54%20GMT	https://pixelwibes.com/template/cryptoon/html/dist/form-custome.html	C:/My%20Web%20Sites/cryptoon/pixelwibes.com/template/cryptoon/html/dist/form-custome.html	(from https://pixelwibes.com/template/cryptoon/html/dist/index.html)
19:27:28	110495/110495	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202024%2000:07:54%20GMT	https://pixelwibes.com/template/cryptoon/html/dist/form-wizard.html	C:/My%20Web%20Sites/cryptoon/pixelwibes.com/template/cryptoon/html/dist/form-wizard.html	(from https://pixelwibes.com/template/cryptoon/html/dist/index.html)
19:27:28	93034/93034	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202024%2000:07:54%20GMT	https://pixelwibes.com/template/cryptoon/html/dist/form-inputmask.html	C:/My%20Web%20Sites/cryptoon/pixelwibes.com/template/cryptoon/html/dist/form-inputmask.html	(from https://pixelwibes.com/template/cryptoon/html/dist/index.html)
19:27:28	1261978/1261978	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202024%2000:07:54%20GMT	https://pixelwibes.com/template/cryptoon/html/dist/icon-iconfont.html	C:/My%20Web%20Sites/cryptoon/pixelwibes.com/template/cryptoon/html/dist/icon-iconfont.html	(from https://pixelwibes.com/template/cryptoon/html/dist/index.html)
19:27:28	582528/582528	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202024%2000:07:54%20GMT	https://pixelwibes.com/template/cryptoon/html/dist/icon-bootstrap.html	C:/My%20Web%20Sites/cryptoon/pixelwibes.com/template/cryptoon/html/dist/icon-bootstrap.html	(from https://pixelwibes.com/template/cryptoon/html/dist/index.html)
19:27:29	166730/166730	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202024%2000:07:54%20GMT	https://pixelwibes.com/template/cryptoon/html/dist/icon-fontawesome.html	C:/My%20Web%20Sites/cryptoon/pixelwibes.com/template/cryptoon/html/dist/icon-fontawesome.html	(from https://pixelwibes.com/template/cryptoon/html/dist/index.html)
